icd10_code,count,group
A084,1,A
A099,1,A
A150,1,A
B009,1,B
B023,1,B
B182,1,B
B24,4,B
B350,1,B
B351,2,B
B354,1,B
C184,1,C
C189,2,C
C329,1,C
C349,5,C
C812,1,C
C823,1,C
D291,1,D
D45,1,D
D474,1,D
D509,4,D
D563,1,D
D638,1,D
D649,3,D
D686,1,D
D696,1,D
D721,3,D
D824,1,D
E02,1,E
E039,2,E
E041,3,E
E050,1,E
E059,7,E
E079,2,E
E112,2,E
E113,1,E
E119,48,E
E143,1,E
E149,3,E
E440,1,E
E660,1,E
E669,4,E
E780,3,E
E781,4,E
E782,6,E
E784,1,E
E785,17,E
E789,97,E
E790,1,E
E834,1,E
E871,2,E
E876,7,E
E889,1,E
F101,2,F
F112,1,F
F122,1,F
F1250,1,F
F171,2,F
F172,2,F
F319,1,F
F320,3,F
F329,2,F
F410,1,F
F419,2,F
F510,2,F
F840,2,F
F900,1,F
G20,1,G
G409,1,G
G438,1,G
G439,5,G
G442,1,G
G470,8,G
G473,31,G
G510,2,G
G560,2,G
G570,1,G
G629,1,G
H010,5,H
H024,1,H
H041,4,H
H10,189,H
H110,4,H
H111,7,H
H132,4,H
H161,2,H
H162,1,H
H259,2,H
H269,1,H
H350,1,H
H359,1,H
H3602,1,H
H401,1,H
H431,1,H
H522,1,H
H542,1,H
H544,1,H
H578,3,H
H609,2,H
H612,2,H
H651,1,H
H652,17,H
H660,1,H
H664,1,H
H699,4,H
H709,3,H
H728,1,H
H810,2,H
H813,1,H
H903,1,H
H919,1,H
H931,4,H
I10,155,I
I119,3,I
I200,1,I
I21,9,I
I251,2,I
I252,2,I
I259,3,I
I269,2,I
I340,1,I
I351,1,I
I420,2,I
I471,1,I
I48,4,I
I489,9,I
I509,1,I
I639,2,I
I693,2,I
I694,1,I
I698,2,I
I731,1,I
I802,2,I
I83,1,I
I831,1,I
I872,1,I
J00,153,J
J018,2,J
J019,5,J
J028,1,J
J029,31,J
J038,1,J
J039,19,J
J040,2,J
J050,2,J
J068,1,J
J069,41,J
J111,1,J
J118,1,J
J129,1,J
J150,2,J
J158,1,J
J159,5,J
J181,1,J
J188,1,J
J189,7,J
J209,62,J
J219,9,J
J22,1,J
J300,2,J
J301,68,J
J302,3,J
J303,9,J
J304,505,J
J304Y97,1,J
J310,87,J
J311,1,J
J312,2,J
J329,31,J
J330,1,J
J339,72,J
J34,1,J
J342,2,J
J343,4,J
J348,2,J
J352,1,J
J353,1,J
J358,3,J
J359,3,J
J382,1,J
J392,1,J
J398,1,J
J399,1,J
J40,19,J
J411,1,J
J42,3,J
J44,232,J
J45,304,J
J46,12,J
J47,4,J
J668,1,J
J689,1,J
J80,2,J
J849,1,J
J930,1,J
J9600,4,J
J9609,3,J
J9699,1,J
J980,1,J
J981,1,J
J984,4,J
J988,1,J
K0117,1,K
K020,1,K
K021,1,K
K0366,11,K
K040,1,K
K041,1,K
K051,2,K
K0510,2,K
K0531,1,K
K0532,1,K
K074,1,K
K081,2,K
K089,1,K
K1209,1,K
K121,1,K
K123,1,K
K1409,1,K
K210,2,K
K219,12,K
K290,1,K
K297,3,K
K30,11,K
K409,2,K
K522,3,K
K590,5,K
K621,1,K
K649,1,K
K739,1,K
K922,1,K
L010,1,L
L032,1,L
L209,8,L
L211,1,L
L219,1,L
L236,1,L
L238,3,L
L239,15,L
L245,1,L
L249,1,L
L258,3,L
L259,2,L
L309,62,L
L42,1,L
L50,42,L
L639,1,L
L649,1,L
L739,1,L
L80,1,L
L819,1,L
L853,1,L
L918,2,L
L930,1,L
M0607,1,M
M0699,1,M
M1000,2,M
M1001,1,M
M1006,1,M
M1009,2,M
M1099,4,M
M170,2,M
M171,2,M
M179,5,M
M206,1,M
M321,1,M
M329,2,M
M4316,1,M
M4729,1,M
M4796,1,M
M545,1,M
M626,1,M
M6260,3,M
M6265,1,M
M6266,4,M
M6267,1,M
M6268,1,M
M6269,6,M
M653,1,M
M6534,1,M
M7227,1,M
M752,1,M
M765,1,M
M7667,1,M
M7797,1,M
M7906,1,M
M7911,2,M
M7916,1,M
M7917,1,M
M7918,2,M
M7919,2,M
M7966,1,M
M8199,1,M
M940,2,M
N083,1,N
N085,1,N
N088,1,N
N132,1,N
N182,1,N
N183,13,N
N184,1,N
N185,3,N
N189,1,N
N200,1,N
N281,1,N
N390,2,N
N40,11,N
N47,1,N
N800,1,N
N944,1,N
N946,1,N
N959,1,N
P722,1,P
P924,1,P
Q379,1,Q
R002,1,R
R040,29,R
R05,60,R
R060,3,R
R062,5,R
R065,4,R
R074,3,R
R101,15,R
R1040,1,R
R13,1,R
R14,1,R
R17,2,R
R200,2,R
R21,1,R
R300,1,R
R33,1,R
R42,14,R
R431,1,R
R470,1,R
R490,1,R
R498,1,R
R509,2,R
R51,1,R
R510,2,R
R55,1,R
R568,1,R
R591,1,R
R628,1,R
R634,1,R
R73,1,R
R730,8,R
R731,15,R
R739,1,R
R798,1,R
S050,3,S
S099,1,S
S202,1,S
S968,1,S
T159,2,T
T634,2,T
T781,4,T
T784,8,T
U5610,11,U
U5720,1,U
U5726,2,U
U5732,1,U
U5733,2,U
U6003,1,U
U6131,1,U
U643,18,U
U6530,5,U
U7173,1,U
U741,1,U
U743,6,U
U744,2,U
U7506,2,U
U7507,1,U
U778,37,U
W2001,1,W
W2030,1,W
W2299,1,W
W4499,5,W
X2399,2,X
X2999,1,X
X4994,1,X
X4999,3,X
X599,1,X
X59999,2,X
Y96,235,Y
Y97,1123,Y
Z000,39,Z
Z012,26,Z
Z014,1,Z
Z016,19,Z
Z017,4,Z
Z021,1,Z
Z027,1,Z
Z028,1,Z
Z090,2,Z
Z098,3,Z
Z099,1,Z
Z100,2,Z
Z108,56,Z
Z111,28,Z
Z114,1,Z
Z115,11,Z
Z121,1,Z
Z124,1,Z
Z128,7,Z
Z1281,21,Z
Z130,1,Z
Z131,7,Z
Z133,64,Z
Z135,2,Z
Z136,14,Z
Z138,3,Z
Z242,1,Z
Z251,10,Z
Z258,2,Z
Z320,1,Z
Z480,2,Z
Z488,1,Z
Z489,1,Z
Z501,15,Z
Z504,2,Z
Z508,2,Z
Z511,1,Z
Z515,1,Z
Z516,25,Z
Z518,1,Z
Z532,3,Z
Z581,2079,Z
Z585,1,Z
Z714,2,Z
Z716,2,Z
Z718,2,Z
Z719,9,Z
Z720,1,Z
Z851,1,Z
Z930,1,Z
Z951,1,Z
Z961,2,Z
Z992,1,Z
2101,2,2
2309,1,2
2330011,1,2
2338610,7,2
2499,1,2
2799,1,2
3824,1,3
3893,3,3
3992,2,3
5794,6,5
8398,85,8
8602,2,8
8744,14,8
8872,1,8
8878,1,8
8913,1,8
8931,11,8
8937,1,8
8952,57,8
897,1,8
9059,4,9
9309,2,9
9312,2,9
9318,2,9
9334,1,9
9335,3,9
9339,2,9
9357,3,9
9382,2,9
9389,6,9
9394,136,9
9396,124,9
9399,5,9
9439,2,9
9449,4,9
9501,9,9
9502,1,9
9503,1,9
9509,36,9
9511,7,9
9604,2,9
9605,1,9
9651,2,9
9654,1,9
9655,1,9
9821,43,9
9918,34,9
9919,2,9
9924,1,9
9929,25,9
9999,2,9
