provinceName,provinceId,yearThai,__pvcode,b_year,hospcode,areacode,date_com,diag_main,w_01_m,w_01_z,w_01_y,w_01_zy,w_02_m,w_02_z,w_02_y,w_02_zy,w_03_m,w_03_z,w_03_y,w_03_zy,w_04_m,w_04_z,w_04_y,w_04_zy,w_05_m,w_05_z,w_05_y,w_05_zy,w_06_m,w_06_z,w_06_y,w_06_zy,w_07_m,w_07_z,w_07_y,w_07_zy,w_08_m,w_08_z,w_08_y,w_08_zy,w_09_m,w_09_z,w_09_y,w_09_zy,w_10_m,w_10_z,w_10_y,w_10_zy,w_11_m,w_11_z,w_11_y,w_11_zy,w_12_m,w_12_z,w_12_y,w_12_zy,w_13_m,w_13_z,w_13_y,w_13_zy,w_14_m,w_14_z,w_14_y,w_14_zy,w_15_m,w_15_z,w_15_y,w_15_zy,w_16_m,w_16_z,w_16_y,w_16_zy,w_17_m,w_17_z,w_17_y,w_17_zy,w_18_m,w_18_z,w_18_y,w_18_zy,w_19_m,w_19_z,w_19_y,w_19_zy,w_20_m,w_20_z,w_20_y,w_20_zy,w_21_m,w_21_z,w_21_y,w_21_zy,w_22_m,w_22_z,w_22_y,w_22_zy,w_23_m,w_23_z,w_23_y,w_23_zy,w_24_m,w_24_z,w_24_y,w_24_zy,w_25_m,w_25_z,w_25_y,w_25_zy,w_26_m,w_26_z,w_26_y,w_26_zy,w_27_m,w_27_z,w_27_y,w_27_zy,w_28_m,w_28_z,w_28_y,w_28_zy,w_29_m,w_29_z,w_29_y,w_29_zy,w_30_m,w_30_z,w_30_y,w_30_zy,w_31_m,w_31_z,w_31_y,w_31_zy,w_32_m,w_32_z,w_32_y,w_32_zy,w_33_m,w_33_z,w_33_y,w_33_zy,w_34_m,w_34_z,w_34_y,w_34_zy,w_35_m,w_35_z,w_35_y,w_35_zy,w_36_m,w_36_z,w_36_y,w_36_zy,w_37_m,w_37_z,w_37_y,w_37_zy,w_38_m,w_38_z,w_38_y,w_38_zy,w_39_m,w_39_z,w_39_y,w_39_zy,w_40_m,w_40_z,w_40_y,w_40_zy,w_41_m,w_41_z,w_41_y,w_41_zy,w_42_m,w_42_z,w_42_y,w_42_zy,w_43_m,w_43_z,w_43_y,w_43_zy,w_44_m,w_44_z,w_44_y,w_44_zy,w_45_m,w_45_z,w_45_y,w_45_zy,w_46_m,w_46_z,w_46_y,w_46_zy,w_47_m,w_47_z,w_47_y,w_47_zy,w_48_m,w_48_z,w_48_y,w_48_zy,w_49_m,w_49_z,w_49_y,w_49_zy,w_50_m,w_50_z,w_50_y,w_50_zy,w_51_m,w_51_z,w_51_y,w_51_zy,w_52_m,w_52_z,w_52_y,w_52_zy,w_53_m,w_53_z,w_53_y,w_53_zy
กรุงเทพมหานคร,10,2569,10,2569,11539,10180200,202607060404,64,,,,,42.0,0.0,0.0,0.0,41.0,0.0,0.0,0.0,41.0,0.0,1.0,0.0,45.0,0.0,0.0,0.0,32.0,0.0,1.0,0.0,36.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0,52.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,73.0,0.0,0.0,0.0,54.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,48.0,1.0,0.0,0.0,48.0,0.0,0.0,0.0,65.0,0.0,0.0,0.0,69.0,0.0,0.0,0.0,74.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
กรุงเทพมหานคร,10,2569,10,2569,11597,10480108,202607060404,4,,,,,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,2.0,0.0,0.0,0.0,,,,,1.0,0.0,0.0,0.0,,,,,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
กรุงเทพมหานคร,10,2569,10,2569,11539,10180200,202607060404,2,11.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,43.0,1.0,0.0,0.0,28.0,1.0,0.0,0.0,32.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,47.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,57.0,0.0,0.0,0.0,49.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,51.0,0.0,0.0,0.0,62.0,0.0,0.0,0.0,55.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
กรุงเทพมหานคร,10,2569,10,2569,11539,10180200,202607060404,32,3.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,29.0,1.0,1.0,1.0,41.0,1.0,1.0,1.0,32.0,0.0,2.0,0.0,29.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,25.0,0.0,1.0,0.0,31.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,41.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
กรุงเทพมหานคร,10,2569,10,2569,12244,10180100,202607060404,64,,,,,2.0,0.0,0.0,0.0,,,,,1.0,0.0,0.0,0.0,,,,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,1.0,0.0,0.0,0.0,,,,,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,2.0,0.0,0.0,0.0,,,,,1.0,0.0,0.0,0.0,,,,,,,,,,,,,1.0,0.0,0.0,0.0,,,,,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
กรุงเทพมหานคร,10,2569,10,2569,11539,10180200,202607060404,4096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,,,,,,,,,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
กรุงเทพมหานคร,10,2569,10,2569,11539,10180200,202607060404,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,,,,,,,,,,,,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
กรุงเทพมหานคร,10,2569,10,2569,12244,10180100,202607060404,2,1.0,0.0,0.0,0.0,,,,,,,,,1.0,0.0,0.0,0.0,,,,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
กรุงเทพมหานคร,10,2569,10,2569,12244,10180100,202607060404,32,,,,,,,,,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,2.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
กรุงเทพมหานคร,10,2569,10,2569,11472,10370100,202607060404,32,,,,,,,,,,,,,,,,,,,,,38.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,34.0,1.0,0.0,0.0,32.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
