no,province_code,province_name,county,population,year
1,10,กรุงเทพมหานคร,13,5511463,2022
2,11,สมุทรปราการ,6,1358338,2022
3,12,นนทบุรี,4,1292276,2022
4,13,ปทุมธานี,4,1195796,2022
5,14,พระนครศรีอยุธยา,4,820464,2022
6,15,อ่างทอง,4,273675,2022
7,16,ลพบุรี,4,737382,2022
8,17,สิงห์บุรี,4,203661,2022
9,18,ชัยนาท,3,319370,2022
10,19,สระบุรี,4,641272,2022
11,20,ชลบุรี,6,1589214,2022
12,21,ระยอง,6,755364,2022
13,22,จันทบุรี,6,536351,2022
14,23,ตราด,6,228092,2022
15,24,ฉะเชิงเทรา,6,725433,2022
16,25,ปราจีนบุรี,6,496551,2022
17,26,นครนายก,4,260419,2022
18,27,สระแก้ว,6,562404,2022
19,30,นครราชสีมา,9,2632106,2022
20,31,บุรีรัมย์,9,1578361,2022
21,32,สุรินทร์,9,1374571,2022
22,33,ศรีสะเกษ,10,1456144,2022
23,34,อุบลราชธานี,10,1869163,2022
24,35,ยโสธร,10,532497,2022
25,36,ชัยภูมิ,9,1120095,2022
26,37,อำนาจเจริญ,10,375866,2022
27,38,บึงกาฬ,8,421840,2022
28,39,หนองบัวลำภู,8,508664,2022
29,40,ขอนแก่น,7,1787752,2022
30,41,อุดรธานี,8,1564780,2022
31,42,เลย,8,638037,2022
32,43,หนองคาย,8,516320,2022
33,44,มหาสารคาม,7,946457,2022
34,45,ร้อยเอ็ด,7,1293572,2022
35,46,กาฬสินธุ์,7,973835,2022
36,47,สกลนคร,8,1145737,2022
37,48,นครพนม,8,716844,2022
38,49,มุกดาหาร,10,351537,2022
39,50,เชียงใหม่,1,1790929,2022
40,51,ลำพูน,1,400348,2022
41,52,ลำปาง,1,721734,2022
42,53,อุตรดิตถ์,2,444548,2022
43,54,แพร่,1,432624,2022
44,55,น่าน,1,475207,2022
45,56,พะเยา,1,462968,2022
46,57,เชียงราย,1,1299030,2022
47,58,แม่ฮ่องสอน,1,286350,2022
48,60,นครสวรรค์,3,1031921,2022
49,61,อุทัยธานี,3,324487,2022
50,62,กำแพงเพชร,3,710458,2022
51,63,ตาก,2,680361,2022
52,64,สุโขทัย,2,583502,2022
53,65,พิษณุโลก,2,845938,2022
54,66,พิจิตร,3,527669,2022
55,67,เพชรบูรณ์,2,975879,2022
56,70,ราชบุรี,5,867043,2022
57,71,กาญจนบุรี,5,894168,2022
58,72,สุพรรณบุรี,5,833027,2022
59,73,นครปฐม,5,922026,2022
60,74,สมุทรสาคร,5,588108,2022
61,75,สมุทรสงคราม,5,190147,2022
62,76,เพชรบุรี,5,482912,2022
63,77,ประจวบคีรีขันธ์,5,553234,2022
64,80,นครศรีธรรมราช,11,1547246,2022
65,81,กระบี่,11,479705,2022
66,82,พังงา,11,267729,2022
67,83,ภูเก็ต,11,418339,2022
68,84,สุราษฎร์ธานี,11,1073064,2022
69,85,ระนอง,11,194400,2022
70,86,ชุมพร,11,509433,2022
71,90,สงขลา,12,1431300,2022
72,91,สตูล,12,325069,2022
73,92,ตรัง,12,638997,2022
74,93,พัทลุง,12,522080,2022
75,94,ปัตตานี,12,731269,2022
76,95,ยะลา,12,544114,2022
77,96,นราธิวาส,12,811891,2022
78,10,กรุงเทพมหานคร,13,5483259,2023
79,11,สมุทรปราการ,6,1366598,2023
80,12,นนทบุรี,4,1302004,2023
81,13,ปทุมธานี,4,1210365,2023
82,14,พระนครศรีอยุธยา,4,821261,2023
83,15,อ่างทอง,4,271656,2023
84,16,ลพบุรี,4,732495,2023
85,17,สิงห์บุรี,4,202117,2023
86,18,ชัยนาท,3,317263,2023
87,19,สระบุรี,4,638704,2023
88,20,ชลบุรี,6,1606412,2023
89,21,ระยอง,6,765287,2023
90,22,จันทบุรี,6,536290,2023
91,23,ตราด,6,227430,2023
92,24,ฉะเชิงเทรา,6,728615,2023
93,25,ปราจีนบุรี,6,498671,2023
94,26,นครนายก,4,260261,2023
95,27,สระแก้ว,6,562860,2023
96,30,นครราชสีมา,9,2627927,2023
97,31,บุรีรัมย์,9,1575073,2023
98,32,สุรินทร์,9,1370376,2023
99,33,ศรีสะเกษ,10,1452532,2023
100,34,อุบลราชธานี,10,1869708,2023
101,35,ยโสธร,10,530239,2023
102,36,ชัยภูมิ,9,1115652,2023
103,37,อำนาจเจริญ,10,374760,2023
104,38,บึงกาฬ,8,421086,2023
105,39,หนองบัวลำภู,8,507599,2023
106,40,ขอนแก่น,7,1782008,2023
107,41,อุดรธานี,8,1560788,2023
108,42,เลย,8,636242,2023
109,43,หนองคาย,8,514909,2023
110,44,มหาสารคาม,7,941261,2023
111,45,ร้อยเอ็ด,7,1287984,2023
112,46,กาฬสินธุ์,7,970084,2023
113,47,สกลนคร,8,1143922,2023
114,48,นครพนม,8,715466,2023
115,49,มุกดาหาร,10,351592,2023
116,50,เชียงใหม่,1,1794774,2023
117,51,ลำพูน,1,398998,2023
118,52,ลำปาง,1,715133,2023
119,53,อุตรดิตถ์,2,441289,2023
120,54,แพร่,1,428499,2023
121,55,น่าน,1,473630,2023
122,56,พะเยา,1,459858,2023
123,57,เชียงราย,1,1299306,2023
124,58,แม่ฮ่องสอน,1,287215,2023
125,60,นครสวรรค์,3,1025348,2023
126,61,อุทัยธานี,3,323066,2023
127,62,กำแพงเพชร,3,706861,2023
128,63,ตาก,2,687927,2023
129,64,สุโขทัย,2,579759,2023
130,65,พิษณุโลก,2,843111,2023
